,453482,AndrewShmig,0.0
0,20203082,Plesser,1.0
1,20206190,smer44,1.0
2,453512,Daleksey,0.0
3,20201178,epishman,1.0
4,20202066,Arseny_Info,1.0
5,453314,Rai220,0.0
6,20196440,multiprogramm,1.0
7,20196564,Kadr,1.0
8,20196812,lightmaann,1.0
9,20199058,Max_JK,1.0
10,20202962,unibasil,1.0
11,20197426,Koneru,1.0
12,20198630,dfgwer,1.0
13,20198958,User2Qwer,1.0
14,20199416,Zoolander,1.0
15,20203786,ukmsz,1.0
16,20203788,OWIII,1.0
17,453354,Dasdy,0.0
18,453290,m31,0.0
19,20195644,SouthBird,1.0
20,20195648,m31,1.0
21,20195678,SouthBird,1.0
22,20195688,m31,1.0
23,20196018,stanislavnikitin,1.0
24,453156,yursha,0.0
25,20191498,Alozar,1.0
26,20194106,rudinandrey,1.0
27,20191504,old_bear,1.0
28,20191506,DMGarikk,1.0
29,20191596,DrunkBear,1.0
30,20194738,roscomtheend,1.0
31,20194950,yursha,1.0
32,20195542,barbanel,1.0
33,452894,evgeniimakarov,0.0
34,20191966,tvr,1.0
35,20194716,evgeniimakarov,1.0
36,20193064,Peter03,1.0
37,20194732,evgeniimakarov,1.0
38,20193472,Peter03,1.0
39,20194752,evgeniimakarov,1.0
40,20202128,Bronx,1.0
41,20193712,oracle_and_delphi,1.0
42,20194754,evgeniimakarov,1.0
43,20193802,Tachyon,1.0
44,20194766,evgeniimakarov,1.0
45,20195732,Barbaresk,1.0
46,20199628,evgeniimakarov,1.0
47,20194146,0xlevi,1.0
48,20194772,evgeniimakarov,1.0
49,20197032,Wesley10,1.0
50,452978,1anisim,0.0
51,20189712,Dekmabot,1.0
52,453074,bvn13,0.0
53,20189154,easimonenko,1.0
54,20189902,AVDerov,1.0
55,20193074,PiaFraus,1.0
56,20193300,AVDerov,1.0
57,20192624,vyo,1.0
58,20194432,botka4aet,1.0
59,20195876,worldmind,1.0
60,453044,SmartEngines,0.0
61,20188778,alexesDev,1.0
62,20189160,SmartEngines,1.0
63,20189476,AndyKorg,1.0
64,20189958,SmartEngines,1.0
